example_id                                     | status | run_time        |
---------------------------------------------- | ------ | --------------- |
./spec/views/login_spec.rb[1:1]                | passed | 0.00875 seconds |
./spec/views/login_spec.rb[1:2]                | passed | 0.00909 seconds |
./spec/views/login_spec.rb[1:3]                | passed | 0.01041 seconds |
./spec/views/login_spec.rb[1:4:1]              | passed | 0.02129 seconds |
./spec/views/login_spec.rb[1:4:2]              | passed | 0.02335 seconds |
./spec/views/login_spec.rb[1:4:3]              | passed | 0.03624 seconds |
./spec/views/posts/posts_index_spec.rb[1:1:1]  | passed | 0.12046 seconds |
./spec/views/posts/posts_index_spec.rb[1:1:2]  | passed | 0.09422 seconds |
./spec/views/posts/posts_index_spec.rb[1:1:3]  | passed | 0.10665 seconds |
./spec/views/posts/posts_index_spec.rb[1:1:4]  | passed | 0.10468 seconds |
./spec/views/posts/posts_index_spec.rb[1:1:5]  | passed | 0.08741 seconds |
./spec/views/posts/posts_index_spec.rb[1:1:6]  | passed | 0.13505 seconds |
./spec/views/posts/posts_index_spec.rb[1:1:7]  | passed | 0.11504 seconds |
./spec/views/posts/posts_index_spec.rb[1:1:8]  | passed | 0.08578 seconds |
./spec/views/posts/posts_index_spec.rb[1:1:9]  | passed | 0.08556 seconds |
./spec/views/posts/posts_index_spec.rb[1:1:10] | passed | 0.09671 seconds |
./spec/views/posts/posts_show_spec.rb[1:1:1]   | passed | 0.08619 seconds |
./spec/views/posts/posts_show_spec.rb[1:1:2]   | passed | 0.08604 seconds |
./spec/views/posts/posts_show_spec.rb[1:1:3]   | passed | 0.09154 seconds |
./spec/views/posts/posts_show_spec.rb[1:1:4]   | passed | 0.08856 seconds |
./spec/views/posts/posts_show_spec.rb[1:1:5]   | passed | 0.10763 seconds |
./spec/views/posts/posts_show_spec.rb[1:1:6]   | passed | 0.09012 seconds |
./spec/views/posts/posts_show_spec.rb[1:1:7]   | passed | 0.08619 seconds |
./spec/views/users/users_index_spec.rb[1:1:1]  | passed | 0.04699 seconds |
./spec/views/users/users_index_spec.rb[1:1:2]  | passed | 0.04635 seconds |
./spec/views/users/users_index_spec.rb[1:1:3]  | passed | 0.04992 seconds |
./spec/views/users/users_index_spec.rb[1:1:4]  | passed | 0.06183 seconds |
./spec/views/users/users_show_spec.rb[1:1:1]   | passed | 0.07162 seconds |
./spec/views/users/users_show_spec.rb[1:1:2]   | passed | 0.06893 seconds |
./spec/views/users/users_show_spec.rb[1:1:3]   | passed | 0.7727 seconds  |
./spec/views/users/users_show_spec.rb[1:1:4]   | passed | 0.08932 seconds |
./spec/views/users/users_show_spec.rb[1:1:5]   | passed | 0.07539 seconds |
./spec/views/users/users_show_spec.rb[1:1:6]   | passed | 0.0718 seconds  |
./spec/views/users/users_show_spec.rb[1:1:7]   | passed | 0.1209 seconds  |
./spec/views/users/users_show_spec.rb[1:1:8]   | passed | 0.09289 seconds |
